id,start,end,attempts,duration
5ecd8d4d50b0a527adaa2409,2020-05-26 15:42:11,2020-05-26 15:42:37,2,26.03
5ecd9a0550b0a527adaa240a,2020-05-26 16:35:24,2020-05-26 16:36:53,8,88.99
5ece7ff3cf7a5b11dc904b15,2020-05-27 08:57:11,2020-05-27 08:57:55,3,43.916
5eceb147cf7a5b11dc904b17,2020-05-27 12:27:05,2020-05-27 12:28:23,4,78.247
5ecea1dbcf7a5b11dc904b16,2020-05-27 11:21:34,2020-05-27 11:22:35,3,60.347
5ecec3decf7a5b11dc904b18,2020-05-27 13:47:20,2020-05-27 13:47:42,2,21.593
5eced954cf7a5b11dc904b19,2020-05-27 15:14:09,2020-05-27 15:19:16,28,307.068
5ecee890fd8707084445f912,2020-05-27 16:19:39,2020-05-27 16:24:16,15,277.58
5ecee8acfd8707084445f913,2020-05-27 16:19:39,2020-05-27 16:24:44,16,305.204
5eceed4a9a4de7093d397361,2020-05-27 16:44:01,2020-05-27 16:44:26,2,25.6
5ecf10fa9a4de7093d397363,2020-05-27 18:09:16,2020-05-27 19:16:42,4,4045.991
5ecf12649a4de7093d397364,2020-05-27 19:21:18,2020-05-27 19:22:44,8,86.078
5ecf154d9a4de7093d397365,2020-05-27 19:32:48,2020-05-27 19:35:09,2,140.993
5ecf157e9a4de7093d397366,2020-05-27 19:35:41,2020-05-27 19:35:58,2,17.207
5ecf158c9a4de7093d397367,2020-05-27 19:35:41,2020-05-27 19:36:12,4,30.95
5ecf1b259a4de7093d397368,2020-05-27 19:58:54,2020-05-27 20:00:05,10,70.643
5ecfb2a49a4de7093d397369,2020-05-28 06:46:18,2020-05-28 06:46:28,2,10.279
5ed022de63c2a249142410cb,2020-05-28 14:45:07,2020-05-28 14:45:18,2,10.813
5ed03150d9489e55d8836035,2020-05-28 15:45:15,2020-05-28 15:46:56,7,101.26
5ed0320fd9489e55d8836036,2020-05-28 15:49:27,2020-05-28 15:50:07,3,40.771
5ed03344d9489e55d8836037,2020-05-28 15:54:40,2020-05-28 15:55:16,3,35.207
5ed03da6d9489e55d8836038,2020-05-28 16:38:49,2020-05-28 16:39:34,3,44.155
5ed04192d9489e55d8836039,2020-05-28 16:54:44,2020-05-28 16:56:18,10,93.967
5ed0435dd9489e55d883603a,2020-05-28 17:02:51,2020-05-28 17:03:57,4,65.592
5ed048b9d9489e55d883603b,2020-05-28 17:24:58,2020-05-28 17:26:49,6,111.415
5ed051e0d9489e55d883603d,2020-05-28 18:05:04,2020-05-28 18:05:52,3,47.345
5ed04d57d9489e55d883603c,2020-05-28 17:45:30,2020-05-28 17:46:31,3,60.213
5ed05303d9489e55d883603e,2020-05-28 18:09:33,2020-05-28 18:10:43,4,70.132
5ed0543bd9489e55d883603f,2020-05-28 18:15:14,2020-05-28 18:15:55,2,40.531
5ed054ddd9489e55d8836040,2020-05-28 18:17:37,2020-05-28 18:18:37,5,60.394
5ed05b1cd9489e55d8836041,2020-05-28 18:44:45,2020-05-28 18:45:16,2,30.859
5ed05c7dd9489e55d8836042,2020-05-28 18:49:48,2020-05-28 18:51:09,5,80.548
5ed05fa6d9489e55d8836043,2020-05-28 19:03:45,2020-05-28 19:04:38,4,52.967
5ed0664bd9489e55d8836044,2020-05-28 19:30:46,2020-05-28 19:32:59,8,133.078
5ed10e6a60e6202c5173781e,2020-05-29 07:28:43,2020-05-29 07:30:18,6,95.175
5ed10fca60e6202c5173781f,2020-05-29 07:34:20,2020-05-29 07:36:10,7,110.235
5ed1127b60e6202c51737820,2020-05-29 07:46:15,2020-05-29 07:47:39,5,84.08
5ed1487160e6202c51737821,2020-05-29 11:37:38,2020-05-29 11:37:53,2,15.276
5ed1491460e6202c51737822,2020-05-29 11:39:54,2020-05-29 11:40:36,3,42.248
